id,title,year,duration,sypnosis
1,Diamante de Sangue,2006,143,Um pescador, um contrabandista e um sindicato de empresários se enfrentam sobre a posse de um diamante de valor inestimável.
2,Dumb and Dumber,1994,107,Depois que uma mulher deixa uma maleta no terminal do aeroporto, um motorista bobo de limusine e sua amigo bobo embarcam em uma divertida viagem por Aspen para devolver a maleta ao proprietário.
3,Godfather I,1972,175,O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.
4,Godfather II,1974,202,Em 1950, Michael Corleone, agora à frente da família, tenta expandir o negócio do crime a Las Vegas, Los Angeles e Cuba. Paralelamente, é revelada a história de Vito Corleone, e de como saiu da Sicília e chegou a Nova Iorque.
5,Godfather III,1990,162,No meio de tentar legitimar seus negócios na cidade de Nova York e na Itália em 1979, o velho mafioso Don Michael Corleone procura confessar seus pecados, enquanto tomava seu sobrinho Vincent Mancini baixo sua proteção.
6,Inception,2010,148,Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.
7,Interestelar,2014,169,Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.
8,Star Wars: Episode I,1999,136,Dois cavaleiros Jedi escapam de um bloco hostil para procurar aliados e encontrar um jovem que possa restaurar o equilíbrio na Força. Mas os anteriormente inativos Sith ressurgem para reivindicar sua antiga glória
9,Star Wars: Episode II,2002,142,Dez anos depois de seu primeiro encontro, o Anakin Skywalker e a Padmé Admidala curtem um romance proibido. Enquanto Obi-wan Kenobi investiga uma tentativa de assassinato de um senador.
10,Star Wars, Episódio III,2005,140,As Guerras Clônicas começaram há 3 anos. Os Jedi resgatam Palpatine, do Conde Dooku, e Obi-wan mantém o controle de uma nova ameaça, enquanto Anakin atua como um agente duplo.
11,uytutuyt,2020,120,jhkjghkjhkjhkjh
1,Diamante de Sangue,2006,143,Um pescador, um contrabandista e um sindicato de empresários se enfrentam sobre a posse de um diamante de valor inestimável.
2,Dumb and Dumber,1994,107,Depois que uma mulher deixa uma maleta no terminal do aeroporto, um motorista bobo de limusine e sua amigo bobo embarcam em uma divertida viagem por Aspen para devolver a maleta ao proprietário.
3,Godfather I,1972,175,O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.
4,Godfather II,1974,202,Em 1950, Michael Corleone, agora à frente da família, tenta expandir o negócio do crime a Las Vegas, Los Angeles e Cuba. Paralelamente, é revelada a história de Vito Corleone, e de como saiu da Sicília e chegou a Nova Iorque.
5,Godfather III,1990,162,No meio de tentar legitimar seus negócios na cidade de Nova York e na Itália em 1979, o velho mafioso Don Michael Corleone procura confessar seus pecados, enquanto tomava seu sobrinho Vincent Mancini baixo sua proteção.
6,Inception,2010,148,Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.
7,Interestelar,2014,169,Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.
8,Star Wars: Episode I,1999,136,Dois cavaleiros Jedi escapam de um bloco hostil para procurar aliados e encontrar um jovem que possa restaurar o equilíbrio na Força. Mas os anteriormente inativos Sith ressurgem para reivindicar sua antiga glória
9,Star Wars: Episode II,2002,142,Dez anos depois de seu primeiro encontro, o Anakin Skywalker e a Padmé Admidala curtem um romance proibido. Enquanto Obi-wan Kenobi investiga uma tentativa de assassinato de um senador.
10,Star Wars, Episódio III,2005,140,As Guerras Clônicas começaram há 3 anos. Os Jedi resgatam Palpatine, do Conde Dooku, e Obi-wan mantém o controle de uma nova ameaça, enquanto Anakin atua como um agente duplo.
